name,listingDate,currentPrice,changeFromPreviousDay,offeringPrice,changeRateFromOfferingPrice,openingPrice,openingPriceToOfferingPrice,closingPriceOnFirstDay
아이스크림미디어(구.시공미디어),2024/08/30,-,%,"32,000",-%,-,%,예정
이엔셀,2024/08/23,-,%,"15,300",-%,-,%,예정
유안타스팩15호,2024/02/29,"2,015",0.00%,"2,000",0.75%,"2,450",22.5%,"2,015"
에이피알(유가),2024/02/27,"270,000",-1.82%,"250,000",8%,"445,500",78.2%,-
코셈,2024/02/23,"9,040",-2.80%,"16,000",-43.5%,"42,000",162.5%,"25,550"
이에이트,2024/02/23,"14,160",-4.32%,"20,000",-29.2%,"26,150",30.75%,"22,600"
케이웨더,2024/02/22,"4,090",-4.88%,"7,000",-41.57%,"19,920",184.57%,"16,600"
스튜디오삼익,2024/02/06,"9,000",-2.60%,"18,000",-50%,"52,000",188.89%,"39,900"
신영스팩10호,2024/02/06,"2,175",0.23%,"2,000",8.75%,"3,670",83.5%,"2,090"
이닉스(구.이닉스정호),2024/02/01,"16,670",-5.18%,"14,000",19.07%,"46,550",232.5%,-
IBKS스팩24호,2024/02/01,"2,185",-0.68%,"2,000",9.25%,"4,865",143.25%,-
포스뱅크,2024/01/29,"7,430",-2.49%,"18,000",-58.72%,"47,550",164.17%,"23,350"
현대힘스,2024/01/26,"13,200",-1.71%,"7,300",80.82%,"28,950",296.58%,"29,200"
에이치비인베스트먼트,2024/01/25,"2,145",-1.15%,"3,400",-36.91%,"10,100",197.06%,-
대신밸런스스팩17호,2024/01/24,"2,180",0.23%,"2,000",9%,"5,970",198.5%,"2,140"
우진엔텍,2024/01/24,"18,200",-1.46%,"5,300",243.4%,"21,200",300%,"21,200"
IBKS스팩23호,2023/12/22,"2,180",-0.23%,"2,000",9%,"4,030",101.5%,"2,065"
하나스팩30호,2023/12/22,"2,095",-0.24%,"2,000",4.75%,"3,250",62.5%,"1,980"
"디에스단석(구,단석산업)",2023/12/22,"75,500",0.94%,"100,000",-24.5%,"370,000",270%,"400,000"
블루엠텍,2023/12/13,"17,520",-6.31%,"19,000",-7.79%,"55,300",191.05%,"51,000"
LS머트리얼즈,2023/12/12,"18,030",-0.55%,"6,000",200.5%,"19,940",232.33%,"24,000"
케이엔에스,2023/12/06,"17,570",-3.14%,"23,000",-23.61%,"71,000",208.7%,"92,000"
와이바이오로직스,2023/12/05,"9,260",-3.74%,"9,000",2.89%,"23,450",160.56%,"12,800"
교보스팩15호,2023/12/05,"2,170",0.00%,"2,000",8.5%,"4,900",145%,"1,975"
